date;user;v;a;tweet
03.06.19 08:24;jemloire;5.42;4.79;RT @Lawyers4EU: Opinion: Vote Leave cheated in the 2016 Brexit vote – how would we stop them doing it again? https://t.co/kXvfu2gT2m
03.06.19 08:24;pongodhall;6.86;4.02;RT @Mikeofthemoor: @Brexit Don't believe him, remember he said he could live on £7.50p a day?
03.06.19 08:24;lynwis;6.01;3.97;"RT @BBCNewsnight: ""Of course, now there will inevitably be delays to treatment as a result of the Brexit process"" - Dr Richard Graham of the Royal College of Radiologists exclusively tells NewsnightRead more here: https://t.co/EjOwvxSzXd @RCRadiologists | #newsnight https://t.co/tB7hu4tUgi"
03.06.19 08:24;FanXstitch;6.48;3.93;RT @nytimes: Morning briefing, Europe edition: Here's what you need to know to start your day https://t.co/tRHjP1Vc3O
03.06.19 08:24;SKAerials;5.19;4.40;Still time to vote and leave the UK to its EU fate.....without all the Noel Edmonds brexit nonsense https://t.co/6y3iTKN2PY
03.06.19 08:24;ed11042;5.76;4.22;RT @remain_central: Brexiters told us the legal process to Leave wouldn’t be triggered until a deal was negotiated. Yet again, Brexit promises have turned to dust. MPs must #RevokeA50 & #StopBrexit. https://t.co/0xptVyxw69
03.06.19 08:24;beccalamjig;6.36;4.08;@islesdelamanche @Mean_Reversion @TomKibasi Given that there's not yet any agreement on what PV question / answers should be, and that could cause major hold up in Parl, a GE where parties had to stand on realistic Brexit options, not fa
03.06.19 08:24;eastyorkstech;4.98;4.66;"RT @UKNatPop: ""Political CIVIL WAR is going to KICK OFF"" '@GerardBattenMEP issues Westminster Brexit warning - Batten hit back at calls for a second Brexit referendum & said: “[It] doesn’t really giveyou a real choice. The only thing to do is to actually have no deal."" #GoWTO & vote '@UKIP https://t.co/GqpT4hkHqE"
03.06.19 08:24;Derf1717;5.44;5.31;RT @LeaveMnsLeave: Politicians in Westminster don't care about your voice. It's time to show them who's in charge, that's why we are marching from Sunderland to London against the Brexit betrayal.Come and join us: https://t.co/LI3gWfUEeM https://t.co/MaOw8kVyqA
03.06.19 08:24;bob_art_dealer;5.72;4.88;RT @ActionBrexit: This is ruffling a lot of Remaineers feathers✅ https://t.co/OkNrEjzPsh
03.06.19 08:24;rarelyused123;6.21;3.68;@JH_Brexit @SkyNews I'm not one for dismissing facts and statistics but there is absolutely no way you can predict a growth in GDP when we have no idea what form of brexit we're getting. I think we'd all agree on that
03.06.19 08:24;cleisthenesUK;6.67;5.55;#Brexit is democracy in action. We the people https://t.co/LS0GIv3MMB
03.06.19 08:24;wgsaraband;5.82;4.51;@SteveDickson59 @Feorlean Most studies I've seen put the figure much lower in 2014 - it was around 55-60% of EU citizens voted No. But yes, I think there's been a massive shift w/ Brexit, and Westminster's xenophobia compared to the supporti
03.06.19 08:24;Roadwarrior29;5.65;4.57;RT @DaveSim25817596: ...the BBC has become an active and actual threat to the functionings of democracy in British Politics ....In Scotland , we learned of this fact during the 2014 IndependenceReferendum Campaign ....Tory Brexit has further demonstrated the sinister nature of this ongoing malaise . https://t.co/xBYeYQS751
03.06.19 08:24;huertanueva;5.79;4.52;RT @Another_Europe: 📣 JOIN THE LEFT BLOC // 23.03 // #PutItToThePeople MARCH 📣 We're coming together as the left in all our diversity - greens, labour movement activists, migrants' rights campaigners - to demand a final say on Brexit. See you there: https://t.co/IS8fiDJuwI https://t.co/PVfAhEg4zw
03.06.19 08:24;AnthonyBowson;5.05;5.63;RT @NarcAware: @brexit_sham @andwarn They have not failed to spot. They have been stopped from acting every step of the way. Not caught napping .. the Govt is 100% complicit.
03.06.19 08:24;mpickwick;6.37;3.42;RT @OrangePaulp: When I say “Brexit” know that I’m referring to Britney leaving her Las Vegas residency
03.06.19 08:24;cdavis218;5.10;4.43;@Brexit Bare-faced liar. When will we be able to actually hold scum like IDS to account for demonstrable lies? Our entire political system is rotten.
03.06.19 08:24;pitpony5695;5.66;4.09;RT @PeterboroughSDP: SDP Peterborough - Asking all residents of Peterborough to vote for the recall. About 8000 votes needed (10% of the electorate). Then we’ll be fighting hard for Patrick O’Flynn MEP in the by-election, Vote SDP - believing in Peterborough and Brexit. Leave means Leave.
03.06.19 08:24;ragusmg;6.11;4.17;RT @DefraGovUK: Do you import timber? In the event of no deal you will need to carry out checks to prove you are importing legally harvested timber. For more information visit: https://t.co/LiRg1svCXF. #Brexit #businessandbrexit #prepareforEUexit https://t.co/ebf5uf0Wjp
03.06.19 08:24;VinaigretteGirl;4.82;4.40;"have been told to slow-walk investigations into multiple interlocking crimes. We have Russian organised crime donating to May; Banks& Farage moneylaunderin: only corruption covers why Brexit continues. #revokeA50now https://t.co/b1TFkDzhnn"
03.06.19 08:24;felixrandal;5.25;4.48;Brussels should heed Mark Carney: act now or EU consumers and firms may face a massive Brexit bill https://t.co/La60c6yi7O
03.06.19 08:24;VinaigretteGirl;4.92;4.28;@Conservatives @AmberRuddHR @annasoubrymp @sarahwollaston @UKLabourLeader @LaylaMoran There is evidence enough (in the court record of yhe @UKEUchallenge, in evidence to DCMS, ICO, EC) to warrant stopping Brexit for an investigation. It is clea
03.06.19 08:24;barlaventoexp;5.79;4.52;RT @JochenML: This is kind of a big deal. Theresa May knew of the criminality that compromised the referendum by the time she invoked Article 50 to exit the European Union. This is significant in several ways (minithread) https://t.co/VM8iDi2fzx
03.06.19 08:24;cockneylaurie;5.35;5.04;RT @cockneylaurie: @Brexit NO! what people want to get out of is the huge Bloody mess you and your mates have made !!!!
